编号,原文（法语）,类型,伪装对象,诈骗手法,判定依据,是否钓鱼,来源,备注
示例1,"E-service Clients BRED <BRED_secureID9593.noreply@zwina.com>
Objet: Au sujet de la sécurité de votre compte! #Re-664366",邮件,BRED 银行,制造'账户安全'恐慌，诱导点击/回复,发件域名 zwina.com 不是银行官方域名，主题带感叹号制造紧急感,是,comment-reconnaitre-un-mail-de-phishing,官方示例（已标注）
示例2,"Group Service <pimkles@dfyoxc.owier.com>
Objet: Assurance Maladie | Ameli.Fr

Bonjour,
Votre caisse d'assurance maladie vous informe que vos remboursements de frais à recevoir...
Nous vous demandons de mettre à jour vos données pour que votre remboursement soit effectué dans les plus délais.
Montant: 249.98 Euro
Référence: Ameli-A8005W
https://www.assure.ameli.fr",邮件,法国医保 ameli,'有退款待领，请更新信息'，诱导填个人信息,发件域名 dfyoxc.owier.com 乱编；链接 www.assure.ameli.fr 仿冒（官方 ameli.fr）；落款语法错误,是,comment-reconnaitre-un-mail-de-phishing,官方示例（已标注）
示例3,"Ref:AMZ6T <amazon.vente@mail.zz>
Objet: Commande validée

Voici le récapitulatif de votre paiement de 1650.00€ effectué sur AMAZON.
Montant: 1650.00€
Marchand: Amazon
Réf: AMZ6T_08J - 17/11/2025
Contacter le service SAV au (+33 6 39 98 41 15)",邮件,亚马逊,伪造'你有一笔 1650 欧大额订单'，诱导拨打假客服电话,发件域名 mail.zz 是可疑顶级域；正文无收件人姓名；只有恐吓性金额,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例4,"Alertes de Transaction <adm.fiscal@drastosa.com.br>
Objet: Paiement réussi

Le paiement a été validé avec succès.
Bonjour, @mail.fr
Nous vous confirmons que le règlement a été dûment enregistré et validé.
⚠️ Important : Le premier prélèvement associé à cette opération interviendra dans un délai de 24h...
Si ce paiement ne venait pas de vous, Veuillez nous appeler sans délai au +33 1 89 62 ...",邮件,法国央行 Banque de France,'一笔你没做过的付款已成功，24 小时内扣款，快打电话',发件域名 drastosa.com.br 是巴西注册乱编域名；正文 @mail.fr 无真实收件人名（群发特征）,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例5,"Anti-Virus <□□□□@gmail.com>
Objet: Confirmation de renouvellement de votre abonnement Avast Anti-Virus

Bonjour,
Nous sommes heureux de vous informer que votre abonnement Avast Anti-Virus a été renouvelé avec succès pour une période de 5 ans.
Montant prélevé: 489.19 €
Le montant prélevé sera crédité sur votre compte bancaire dans un délai de 24 à 48 heures.
Si vous n'avez pas effectué ce paiement, contactez notre service clientèle au 09 70 46 □□□",邮件,杀毒软件 Avast,'5 年订阅已扣款 489.19 欧，不打客服退不了钱'（诱导打假客服、远程控制电脑）,发件人是普通 gmail 而非官方域名；'扣款会在 24-48 小时内退回'矛盾话术,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例6,"Merci pour votre commande n°8945623 – 589,99 € seront débités. Un problème ? Appelez immédiatement le 09 XX XX XX XX. SOS carte",短信,银行止付（SOS carte）,假称订单扣款，诱导拨打假止付电话,号码为官方脱敏格式；先吓人再让你打电话,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例7,"Bonjour, Votre achat de 594,98 EUR chez Darty a bien été enregistré. Si vous n'avez pas initié ce paiement, contacter vite le service opposition au 07 XX XX XX XX (non surtaxé). Cordialement, Service Opposition",短信,Darty 电商,假称已扣款，诱导拨假客服,号码为官方脱敏；真实商城不会这样通知,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例8,"Crédit Agricole: Un paiement de 657,99 € est en cours de validation. Si vous n'en êtes pas l'auteur, veuillez contacter le service de sécurité au 09 XX XX XX XX.",短信,农业信贷银行 Crédit Agricole,假称付款验证中，诱导拨打假安全电话,官方不会用短信号码直接要你回电,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例9,"Info Bred: Opération de 935 € initiée chez Bureau Vallée sur votre carte. Si non autorisée, appelez au 09 XX XX XX XX",短信,BRED 银行,假称大额消费，诱导回电,号码为官方脱敏；真实银行用 app 推送不用短信,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例10,"De : Direction Générale des finances publiques <service@dgfinp-impots.com>
Objet : Documents nécessaires pour compléter votre dossier

Madame, Monsieur,
Notre service procède à une mise à jour générale des dossiers pour particuliers.",邮件,法国税务局 DGFiP,假称需补充档案材料，诱导回复个人信息或点链接,发件域名 dgfinp-impots.com 是仿冒（官方 impots.gouv.fr）；正文无收件人姓名,是,hameconnage-impots,官方示例（已标注）
示例11,"Objet : Remboursement [371341-1554822122]
（邮件内伪造 impots.gouv.fr 页面）
Remboursement N°:90751327263
Bonjour,
Votre message est en pièce jointe",邮件,税务局退税服务,假称有退税待领，诱导点链接或下载附件,退税编号为乱编；DGFiP 官方声明真实税务流程只用纸质挂号信,是,hameconnage-impots,官方示例（已标注）
示例12,"OBJET : AVIS DE NOTIFICATION FISCALE

La Direction générale des finances, représentée par Mr BERNARD POIRIER, chef du Service fédéral du contrôle financier... Vous envoie cet e-mail pour vous informer qu'il existe plusieurs accusations de fraude fiscale à votre encontre...
Après avis de la Commission des offensives fiscales, le Service fédéral des impôts prendra toutes les mesures nécessaires pour vous poursuivre et vous traduire en justice. Evidemment, vous risquez jusqu'à cinq ans de prison et une amende de 500 000 €, selon le consensus des lois fiscales allemandes.
A compter de cette notification, vous aurez 48 heures pour payer la somme de 7 108,00 € correspondant à votre imposition...",邮件,法国财政监察总局 IGF,恐吓'你涉嫌税务欺诈'，限 48 小时交 7108 欧，否则坐牢+查封财产,法国机构引用'德国法律'自相矛盾；官方不会用邮件发此类通知；金额巨大且限时施压,是,escroquerie-accusation-fraude-fiscale,官方示例（已标注）
