编号,短信内容（法语）,"标签(1=垃圾,0=正常)",类别,备注
FR0001,Vous ne rcv plus de msgs du chat svc. Pour les services Hardcore GRATUITS texte Aller à: 69988 Si u obtenir rien u doit Age Vérifiez avec le réseau yr et essayez à nouveau,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0002,Acheter Space Invaders 4 une chance 2 win orig Arcade console de jeu. Appuyez sur 0 pour Games Arcade (charge WAPstd) Voir o2.co.uk/games 4 Termes + paramètres. Pas d'achat,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0003,URGENT! C'est la 2ème tentative de contacter U!U ont WON £1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max£7.50,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0004,Voudriez-vous voir mes XXX photos qu'elles sont si chaudes qu'elles ont été presque interdites dans le uk!,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0005,"Ne m'envoie plus de SMS, je n'ai rien d'autre à dire.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0006,Félicitations ur a reçu soit £500 de bons-cadeaux CD & Entrée gratuite 2 notre £100 tirage hebdomadaire txt MUSIC à 87066 TnCs www.Ldew.com1win150ppmx3age16,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0007,Comment les amis nous aident dans les problèmes? Ils donnent la suggestion la plus stupide que nous Lands dans un autre problème et nous aide à parier le problème précédent,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0008,Le solde de trésorerie de l'Ur est actuellement de 500 livres - pour maximiser l'encaissement de l'Ur maintenant envoyer COLLECT à 83600 seulement 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0009,"La nuit s'est terminée pour un autre jour, le matin est venu d'une manière spéciale. Puissiez-vous sourire comme les rayons ensoleillés et laissez vos soucis à la baie bleue.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0010,#ERREUR!,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0011,L'argent que j'ai gagné le numéro 946 wot do i do next,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0012,Sex up ur mobile avec une photo sexy GRATUITE de la Jordanie! Il suffit de texte BABE à 88600. Puis chaque wk obtenir une célébration sexy! PocketBabe.co.uk 4 photos de plus. 16 £3/wk 087016248,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0013,J'ai mal à la gorge.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0014,La vue mal monter sur fb dans quelques minutes,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0015,Où est-il? Y a-t-il une ouverture pour Mca.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0016,"C'est 6 £ pour entrer, c'est bon?",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0017,Ur ringtone service a changé! 25 crédits gratuits! Allez sur club4mobiles.com pour choisir le contenu maintenant! Stop? txt CLUB STOP à 87070. 150p/wk Club4 PO Box1146 MK45 2WT,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0018,"La science dit que le chocolat va fondre sous le soleil. S'il vous plaît ne marchez pas sous le soleil. BCoz, je ne veux pas perdre un ami doux.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0019,"Bonjour d'Orange. Pour 1 mois d'accès gratuit aux jeux, aux nouvelles et au sport, plus 10 textes gratuits et 20 messages photos, répondez OUI.",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0020,On n'ira qu'aux pilates d'intro ou au kickboxing aussi?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0021,"Non, j'ai oublié, je viendrai la semaine prochaine.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0022,"Je ne fume pas pendant que les gens utilisent ""Wylie fume trop"" pour justifier la ruine de ma merde",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0023,URGENT! Votre numéro mobile a reçu un prix <UKP>2000 GARANTIED. Appelez 09061790125 de la ligne fixe. Réclamation 3030. Valable 12hs seulement 150ppm,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0024,Entrée GRATUITE dans notre concours hebdomadaire £250 juste envoyer le mot WIN à 80086 MAINTENANT. 18 T&C www.txttowin.co.uk,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0025,À quelle heure pensez-vous en aller?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0026,"Oui, c'est dur, mais nous sommes optimistes, les choses vont s'améliorer ce mois-ci.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0027,88800 et 89034 sont des services téléphoniques premium au numéro 08718711108,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0028,"Oui, il y a à peine assez de place pour nous deux, x a trop de chaussures.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0029,"Aujourd'hui, les numéros Vodafone se terminant par 4882 sont sélectionnés pour recevoir un prix £350. Si votre numéro correspond, appelez le 09064019014 pour recevoir votre prix £350.",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0030,Puis-je rencontrer ü à 5.. Comme 4 où dépend de où ü wan 2 en lor..,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0031,Économisez de l'argent sur la lingerie de mariage à www.bridal.petticoatdreams.co.uk Choisissez parmi une superbe sélection avec livraison nationale.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0032,Ok lar je double vérifier wif da coiffeur déjà il a dit wun couper v court. Il a dit couper jusqu'à ce que je sois belle.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0033,Vous avez une importante annonce de service à la clientèle de PREMIER. Appelez FREEPHONE 0800 542 0578 maintenant!,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0034,Dites à vos amis ce que vous comptez faire le jour de la Saint-Valentin @ &lt;URL&gt;,0,normal,SpamShield 真实数据（CC-BY-4.0）
